rank,film_title,film_year,overall_rating,language,genre,mpaa_rating,director,actors,plot_summary
584,End of Watch,2012,3.1,English,Crime/Drama,R,David Ayer,"Michael Peña, Jake Gyllenhaal, Anna Kendrick, Natalie Martinez, America Ferrera, David Harbour",Rookie cops Taylor and Zavala patrol some of the roughest streets in L.A. - using a variety of hand-held footage - from gang member's and police dash cams - the audience is given an intimate connection to the gritty drama.
585,Barton Fink,1991,3.1,English,Comedy/Drama,R,Joel Coen,"John Turturro, John Goodman, Judy Davis, Michael Lerner, John Mahoney, Tony Shalhoub","Barton Fink (John Turturro) was given an opportunity by Capitol Pictures head Jack Lipnick (Michael Lerner) to write a wrestling picture.  \His neighbor Charlie Meadows (John Goodman) sells insurance and pops in and out of his place. Barton asks for Audrey Taylor's (Judy Davis) help, the partner of skilled writer William Preston (W.P.) ""Bill"" Mayhew (John Mahoney)."
586,"Planes, Trains & Automobiles",1987,3.0,English,Comedy/Adventure,R,John Hughes,"Steve Martin, John Candy, Laila Robins, Michael McKean, Kevin Bacon, Dylan Baker","Uptight businessman Neal Page wants to get home for Thanksgiving, but when his flight is canceled due to bad weather, he is forced to procure other means of transportation and is joined by Del Griffith, a salesman with a big heart and even bigger mouth."
587,The Conversation,1974,3.1,English,Mystery/Drama,PG,Francis Ford Coppola,"Gene Hackman, John Cazale, Teri Garr, Allen Garfield, Frederic Forrest, Harrison Ford",A paranoid surveillance expert listens in on conversations in which he fears a couple may be killed only to find himself deeper in the mystery.
588,Ugetsu Monogatari,1954,3.2,Japanese,Drama/Fantasy,NR,Kenji Mizoguchi,"Masayuki Mori, Machiko Kyô, Kinuyo Tanaka, Eitarô Ozawa, Ikio Sawamura, Mitsuko Mito","Long hailed as one of the great achievements in Japanese cinema, Kenji Mizoguchi's film, set against the backdrop of the civil wars of 16th Century Japan, follow two men looking for glory: one as a potter, the other as a would-be samurai. Their ambition causes them to abandon their respective wives, leading to tragedy."
589,Kung Fu Panda,2008,3.0,English,Animation/Comedy,PG,Mark Osborne,"Jack Black, Jackie Chan, Dustin Hoffman, Lucy Liu, Angelina Jolie, Ian McShane",A young-ish panda is one of the laziest animals in the area (called the valley of peace).  After a long selection process he becomes the one panda that must protect their home land from all the enemies.  The sad thing is that Po doesn't really know much protection action and must learn it on the fly.
590,Zero Dark Thirty,2012,3.1,English,Thriller,R,Kathryn Bigelow,"Jessica Chastain, Joel Edgerton, Mark Strong, Chris Pratt, Édgar Ramírez","Follow CIA agent Maya in her decade-long quest to hunt down Osama Bin Laden. The hard work, determination and sacrifice involved leads directly to the raid on a compound by Seal Team 6 in May of 2011."
591,Ace in the Hole,1951,3.1,English,Documentary/Mystery,PG,Billy Wilder,"Kirk Douglas, Robert Arthur, Jan Sterling, Porter Hall, Richard Benedict, Frank Cady",A film about a big time reporter who uses a disaster as his ticket back to the top.
592,West Side Story,1961,3.0,English,Musical/Romance,PG,Jerome Robbins,"Natalie Wood, Richard Beymer, Rita Moreno, George Chakiris, William Bramley, Tucker Smith",Two New York City rival gangs sing their way through battles and love as they duke it out in this 1961 best picture winner.
593,Throne of Blood ( Kumonosu-jou ),1957,3.1,Japanese,Drama/Action,NR,Akira Kurosawa,"Toshirô Mifune, Isuzu Yamada, Takashi Shimura, Akira Kubo, Hiroshi Tachikawa, Minoru Chiaki","Inspired by a prophecy, an ambitious lord seeks to become emperor as his even more ambicious wife pushes him on."
594,Coraline,2009,3.0,English,Animation/Family,PG,Henry Selick,"Dakota Fanning, Teri Hatcher, Keith David, Ian McShane, Jennifer Saunders, John Hodgman","A young girl discovers a door in her house that leads to a parallel world that on the surface seems better, but beneath the veneer is something sinister and it will take cunning and resourcefulness to get back home and save her real family."
595,A Streetcar Named Desire,1951,3.1,English,Drama,NR,Elia Kazan,"Marlon Brando, Karl Malden, Vivien Leigh, Kim Hunter, Rudy Bond, Nick Dennis","Set in an apartment in the French Quarter in New Orleans, Blanche Dubois visits her pregnant sister while her husband questions her finances and property that may have been left to her and her sister."
596,The Girl with the Dragon Tattoo,2011,3.0,English,Drama/Thriller,R,David Fincher,"Daniel Craig, Rooney Mara, Stellan Skarsgård, Robin Wright, Christopher Plummer, Embeth Davidtz",David Fincher's adaptation of Stieg Larsson's popular novel: Disgraced journalist Mikael Blomkvist teams up with a brilliant hacker and loner Lisbeth Salander in order to solve a 40-year-old mystery that has plagued the scion of a powerful family.
597,Serpico,1973,3.0,English,Biography/Crime,R,Sidney Lumet,"Al Pacino, John Randolph, Jack Kehoe, Biff McGuire, Cornelia Sharpe, Tony Roberts",Frank Serpico is an honest cop in a corrupt force. How long can he stay clean? And will other cops trust him or want him out of the way? Al Pacino is... Frank Serpico.
598,Fiddler on the Roof,1971,3.0,English,Musical/Drama,G,Norman Jewison,"Topol, Norma Crane, Leonard Frey, Molly Picon, Paul Mann, Rosalind Harris","Tevye is a milkman, a Jewish peasant in pre-Revolutionary Russia who tries to adhere to tradition while his daughters grow up and the world changes."
599,Once Upon a Time ... in Hollywood,2019,3.1,English,Crime/Drama,R,Quentin Tarantino,"Brad Pitt, Leonardo DiCaprio, Margot Robbie, Margaret Qualley, Emile Hirsch, Timothy Olyphant","A fading, serious TV star Rick Dalton along with his stunt double Cliff Booth, who look to break into the film industry during the Golden Age of Hollywood. But the summer of '69 also faces the counter-culture revolution along with the rise of the Manson Family."
600,The Hunger Games,2012,2.9,English,Drama/Sci-Fi,PG-13,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Elizabeth Banks, Woody Harrelson, Stanley Tucci","Based on the best-selling novel by Suzanne Collins - in a dystopic future where the United States, now called Panem, is divided into 12 districts, each year the Capital holds the Hunger Games. Two young tributes from each district must fight to the death and viewing is mandatory. When Katniss Everdeen takes her sisters place as a tribute, it will catapult her and fellow tribute Peeta Mellark into a dark, dangerous world where they will have to use every advantage in order to survive."
601,"Wailing, The ( Goksung )",2016,3.2,Korean,Mystery/Thriller,NR,Hong-jin Na,"Woo-hee Chun, Jung-min Hwang, So-yeon Jang, Han-Cheol Jo, Jun Kunimura, Do Won Kwak",A goofy local police man's daughter is under the spell of a demon/demons after the people of his village tell terrifying stories following the arrival of a strange Japanese man.
602,"Oslo, August 31st ( Oslo, 31. august )",2011,3.2,Norwegian,Drama,NR,Joachim Trier,"Hans Olav Brenner, Anders Danielsen Lie, Renate Reinsve, Andreas Braaten, Emil Lund, Ingrid Olava",In which we follow a young man named Anders for one day: a recovering addict who decides to take leave of his treatment center in order to make it to a job interview and catch up with some old friends in Oslo.
603,Bringing Up Baby,1938,3.1,English,Comedy/Romance,NR,Howard Hawks,"Cary Grant, Katharine Hepburn, Charles Ruggles, Barry Fitzgerald, George Irving, Walter Catlett",A lady uses the help of a leopard to romance a paleontologist in this off the wall comedy.
604,Beetlejuice ( Beetle Juice ),1988,2.9,English,Comedy/Fantasy,PG,Tim Burton,"Alec Baldwin, Geena Davis, Michael Keaton, Winona Ryder, Jeffrey Jones, Catherine O'Hara","A ghost couple try to scare the new homeowners away. Beetle juice, Michael Keaton, teaches the ghosts how to scare them."
605,American Graffiti,1973,3.0,English,Comedy/Drama,PG,George Lucas,"Ron Howard, Richard Dreyfuss, Charles Martin Smith, Candy Clark, Mackenzie Phillips, Harrison Ford","A group of graduating high school students enjoy their last time together as they eat at the drive in, drive around, and woo the local girls."
606,Lincoln,2012,3.0,English,Biography/Drama,PG-13,Steven Spielberg,"Daniel Day-Lewis, Sally Field, Tommy Lee Jones, David Strathairn, Joseph Gordon-Levitt, James Spader","Steven Spielberg's long-in-the-work biography of the sixteenth President of the United States, Abraham Lincoln, as he presides over nation, and family, during the Civil War."
607,A Bronx Tale,1993,3.0,English,Crime/Drama,R,Robert De Niro,"Robert De Niro, Chazz Palminteri, Joe Pesci, Lillo Brancato, Francis Capra, Taral Hicks",A boy grows up with two very diverse heroes: his hard-working father and the neighborhood capo.
608,Manchester by the Sea,2016,3.1,English,Drama,R,Kenneth Lonergan,"Casey Affleck, Lucas Hedges, Michelle Williams, Kyle Chandler, C.J. Wilson, Gretchen Mol","Following the death of his father, a teen boy finds himself in the care of his closest relative, an uncle who is not prepared to take on this responsibility."
609,Thor,2011,2.9,English,Action/Fantasy,PG-13,Kenneth Branagh,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Stellan Skarsgård, Kat Dennings","The mighty but arrogant warrior Thor is thrown out of Asgard, cast down amongst the mortals. Yet it is here he learns what it mean to be a true hero and he is put to the test when a villain from Asgard decides to invade earth and Thor is the only hope to protect mankind."
610,Deadpool 2,2018,3.1,English,Action/Comedy,R,David Leitch,"Ryan Reynolds, Josh Brolin, Zazie Beetz, Morena Baccarin, Brianna Hildebrand, Julian Dennison","Cable, an exceptionally deadly mercenary mutant from the future, comes back in time to hunt down a child. Despite the fact this fire-based mutant is hell in a handbasket, it turns out Deadpool has a soft spot for the brat and, with the help of the derivative X-Force, will pull out all the stops to ensure his survival."
611,Les Misérables,2012,3.0,English,Drama/Musical,PG-13,Tom Hooper,"Hugh Jackman, Russell Crowe, Amanda Seyfried, Eddie Redmayne, Anne Hathaway, Sacha Baron Cohen","Based on Victor Hugo's classic novel-turned-musical - paroled prisoner Jean Valjean (Hugh Jackman) seeks redemption and a new life, and so breaks his parole. Set Amidst the French Revolution, he is pursued by Inspector Javert (Russell Crowe) and has the chance to change the fortunes in the life of Fantine (Anne Hathaway) and her daughter Cosette (Amanda Seyfried)."
612,All About My Mother ( Todo sobre mi madre ),1999,3.1,Spanish,Drama,R,Pedro Almodóvar,"Cecilia Roth, Marisa Paredes, Penélope Cruz, Candela Peña, Antonia San Juan, Rosa Maria Sardà","A boy's mother who is a former prostitute seeks redemption again, after a terrible accident."
613,Red Beard ( Akahige ),1965,3.2,Japanese,Drama,NR,Akira Kurosawa,"Toshirô Mifune, Yuzo Kayama, Tsutomu Yamazaki, Reiko Dan, Miyuki Kuwano, Kyôko Kagawa","In 19th-century Japan, a young doctor reluctantly goes to work at a rural hospital.  There, he first rebels against, then comes to respect and learn from, ""Red Beard,"" the head doctor."
614,Midnight Express,1978,3.1,English,Biography/Crime,R,Alan Parker,"Brad Davis, Irene Miracle, Bo Hopkins, Randy Quaid, John Hurt, Paolo Bonacelli","Billy Hayes is a young American who is caught attempting to smuggle drugs out of Turkey. Although he is just a young man who made a dumb mistake, the Turkish government decides to make an example of him.  He's given 30+ years in prison. The conditions are unbelievable.  His lawyer and the American government are unable to help him."
615,Mission: Impossible - Ghost Protocol,2011,3.0,English,Action,PG-13,Brad Bird,"Tom Cruise, Simon Pegg, Jeremy Renner, Josh Holloway, Paula Patton, Léa Seydoux","After a bomb decimates the Kremlin in Russia, Ethan Hunt and his team are shut down and declared enemies of the state. In order to clear their names, the unit must go rogue and discover the true motive behind the bombing."
