rank,film_title,film_year,overall_rating,language,genre,mpaa_rating,director,actors,plot_summary
1,The Shawshank Redemption,1994,3.5,English,Drama,R,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows","A young banker named Andy, has his life changed rapidly when he is convicted of the murder of his wife and lover, and sentenced to life in prison.  As the story unfolds, Andy shows that he is a not a typical prisoner. With the help of his friend Redd, Andy makes the most of his prison life.  The film takes place in the 1940's."
2,Fight Club,1999,3.3,English,Drama/Crime,R,David Fincher,"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Zach Grenier",An average thirty-something office worker gets so bored of his life he creates a local fighting club. The path of insanity and psychosis is inevitable.
3,The Godfather,1972,3.5,English,Drama/Crime,R,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano, Sterling Hayden","An organized crime leader gives up control of his ""family"" to his youngest son, Michael.  The leader barely survives a battle between mobs, which leads Michael to begin a mob war against Sollozzo and tears the Corleone family apart."
4,The Dark Knight,2008,3.4,English,Action/Adventure,PG-13,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Maggie Gyllenhaal, Michael Caine, Gary Oldman","Batman raises the stakes in his war on crime. With the help of Lieutenant Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the city streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as The Joker."
5,Pulp Fiction,1994,3.4,English,Crime/Drama,R,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Bruce Willis, Ving Rhames, Uma Thurman, Harvey Keitel","A story of four interweaving stories developing from hit men, boxers, ringleaders, and anyone else who is involved with a crime. Violence and crime are not far away."
6,Forrest Gump,1994,3.3,English,Drama/Comedy,PG-13,Robert Zemeckis,"Tom Hanks, Robin Wright Penn, Gary Sinise, Mykelti Williamson, Sally Field","A ""slow"" man explains to people he meets on a park bench his life story which seems to encounter historic events."
7,Lord of the Rings: The Fellowship of the Ring,2001,3.3,English,Adventure/Fantasy,PG-13,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom, John Rhys-Davies","A Hobbit by the name of Frodo is entrusted with an ancient ring, which is known to be very dangerous. He, along with other heroes such as elves and men, must travel to destroy it."
8,Lord of the Rings: The Return of the King,2003,3.4,English,Adventure/Fantasy,PG-13,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Sean Astin, Orlando Bloom, John Rhys-Davies","Frodo and Sam try to destroy ""the one ring"" while the rest fight their way through battles to help Frodo and Sam.  Frodo is tempted, can Sam save him?"
9,The Matrix,1999,3.2,English,Sci-Fi/Action,R,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Carrie-Anne Moss, Laurence Fishburne, Joe Pantoliano, Hugo Weaving, Gloria Foster","A computer programmer, Neo, finds that things are not how they seem. His life will get turned upside down when Morphius gives him a choice to see the truth."
10,Schindler's List,1993,3.4,English,Drama/Biography,R,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Mark Ivanir, Embeth Davidtz",Schindler (played by Liam Neeson) tries to save the Jews by bringing as many as he can to an ammunitions plant that may not produce any ammunition.
11,Goodfellas,1990,3.4,English,Crime/Drama,R,Martin Scorsese,"Ray Liotta, Robert De Niro, Joe Pesci, Lorraine Bracco, Frank Sivero",A drug dealing gangster works his way up the chain of command while building close relationships with the leader.  Based off a true story.
12,Inception,2010,3.3,English,Action/Mystery,PG-13,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Marion Cotillard, Cillian Murphy, Ken Watanabe","Dom Cobb is the best at what he does: he enters peoples minds in the dream state and steals the valuable assets hidden inside the mind. This has made him incredibly popular in corporate espionage, but at the expense of having an semblance of a normal life. Now Cobb is given one last job - not to steal, but plant an idea, if he succeeds, he just may escape the game forever, but first he must succeed."
13,The Silence of the Lambs,1991,3.4,English,Thriller/Horror,R,Jonathan Demme,"Anthony Hopkins, Jodie Foster, Anthony Heald, Scott Glenn, Ted Levine, Franke Faison","An FBI agent uses the help of Dr. Hannibal Lector, a confined psychopathic killer, to profile a missing person's kidnapper and serial killer.  As she comes closer to lector, she shows sign of nervousness.  Will she still seek his help to complete the job?"
14,Star Wars: Episode V - The Empire Strikes Back,1980,3.4,English,Sci-Fi/Adventure,PG,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, James Earl Jones, Anthony Daniels","While Luke's skills improve as he becomes closer to a Jedi, he meets a green friend to help him in his journey, while Leia and Han try to flee from Darth Vadar."
15,Raiders of the Lost Ark,1981,3.3,English,Adventure/Action,PG,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, Denholm Elliott, Alfred Molina","Indiana Jones, a college professor is on an adventure with his old friend to find the Ark of the Covenant."
16,The Godfather: Part II,1974,3.4,English,Crime/Drama,R,Francis Ford Coppola,"Al Pacino, Diane Keaton, Robert Duvall, Robert De Niro, John Cazale, Talia Shire","The sequel to ""The Godfather,"" we are taken back to the begining of the Corleone family, and how it all began back in the early 1900's."
17,Lord of the Rings: The Two Towers,2002,3.3,English,Adventure/Fantasy,PG-13,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom, John Rhys-Davies","The fellow has split, but Frodo and Sam have a mission to complete.  The others make new friends, while Frodo finds a guide to Mordor."
18,Saving Private Ryan,1998,3.3,English,War/Drama,R,Steven Spielberg,"Tom Hanks, Barry Pepper, Adam Goldberg, Edward Burns, Matt Damon, Tom Sizemore","Once soldiers cross the line from the beach to land, they are assigned to find Private Ryan, who none of them know, nor do they know if he is alive, but they must follow the commanding officer."
19,Back to the Future,1985,3.2,English,Adventure/Sci-Fi,PG,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson, Crispin Glover, Huey Lewis","Marty Mcfly's loony friend, Doc Brown, invents a time machine in which Marty is accidentally sent back to 1955, the same year his parents meet."
20,One Flew Over the Cuckoo's Nest,1975,3.4,English,Drama,R,Milos Forman,"Jack Nicholson, Danny DeVito, Louise Fletcher, William Redfield, Christopher Lloyd, Michael Berryman",A man who may not really be insane is admitted to an institution.  He plays tricks on the nurse and rounds up the other trouble patients for a healthy dose of fun.
21,Star Wars: Episode IV - A New Hope,1977,3.3,English,Sci-Fi/Adventure,PG,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Anthony Daniels, James Earl Jones","A kid named Luke Skywalker, flees his home after his family is murdered, goes into outer space to face Tie Fighters and the evil Darth Vador, while making friends with Han and Princess Leia."
22,Se7en,1995,3.3,English,Thriller/Crime,R,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow, Kevin Spacey, R. Lee Ermey, Daniel Zacapa",A retiring officer and his soon-to-be replacement track a serial killer who is using the seven deadly sins as his guide.
23,Gladiator,2000,3.2,English,Adventure/Drama,R,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Djimon Hounsou, Richard Harris","Maximus, a general and friend of Caesar, is sold as a slave by the new emperor to protect his thrown from Maximus who is the chosen heir. He fights as a gladiator to slowly wait for his revenge."
24,Braveheart,1995,3.2,English,Adventure/Drama,R,Mel Gibson,"Mel Gibson, James Robinson, Brendan Gleeson, David O'Hara, James Cosmo, Sophie Marceau","Mel Gibson's first official movie as producer paints a tragic, and sometimes beautiful,  picture of what sacrifices must be made for freedom. Mel plays a thirteen-century freedom fighting Scott who motivates his countrymen to fight against the corrupt government."
25,Die Hard,1988,3.3,English,Action,R,John McTiernan,"Bruce Willis, Bonnie Bedelia, Alan Rickman, Reginald VelJohnson, William Atherton, Paul Gleason","A terrorist group takes over a L.A. office building on Christmas, and tough New York cop John McLain is the only one who can stop them."
26,The Departed,2006,3.2,English,Crime/Drama,R,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Martin Sheen, Mark Wahlberg, Vera Farmiga","Two detectives who go through the same training, and perform well are on opposite sides of the war between a big wig Irish crime boss.  They both struggle to figure out who the mole is."
27,The Lion King,1994,3.3,English,Family/Animation,G,Roger Allers,"Jonathan Taylor Thomas, Matthew Broderick, James Earl Jones, Moira Kelly, Jeremy Irons, Niketa Calame",The son of the King of the Jungle believes he killed his father where he goes into exile.  The rest of the pack believes he's dead when he decides to come back to regain control several years later when he questions his confidence.
28,The Shining,1980,3.2,English,Horror/Thriller,R,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone","A man and his family head to a isolated hotel to ""house sit.""  As the loneliness sets in, the husband begins to go insane, while the boy sees things that no one else can.."
29,12 Angry Men,1957,3.4,English,Drama,PG,Sidney Lumet,"Henry Fonda, Jack Klugman, Joseph Sweeney, Lee J. Cobb, E.G. Marshall, Jack Warden",One man on a jury stands alone in a case in which most are initially convinced one way but one by one may be convinced another way.
30,"Good, the Bad and the Ugly, The ( buono, il brutto, il cattivo, Il )",1966,3.4,Italian,Western,R,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Eli Wallach, Luigi Pistilli, Aldo Giuffrè, Rada Rassimov","A mysterious man, a petty theif, and a criminal all set off to find a pot of gold.  Who is the good guy, the bad guy, and the ugly one?"
31,Terminator 2: Judgement Day,1991,3.2,English,Sci-Fi/Action,R,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Robert Patrick, Edward Furlong, Earl Boen, Joe Morton",John Conner is protected by an outdated cyborg who fights a liquid metal cyborg in the continuing story of the future and the past.
32,Psycho,1960,3.3,English,Horror/Mystery,R,Alfred Hitchcock,"Janet Leigh, Anthony Perkins, Vera Miles, John McIntire, Frank Albertson, John Anderson","A woman goes missing after stealing money from her boss?s client.  The last place she was seen was at the Bates motel, run by a young, intriguing man."
33,Alien,1979,3.3,English,Sci-Fi/Horror,R,Ridley Scott,"Sigourney Weaver, Tom Skerritt, Ian Holm, John Hurt, Harry Dean Stanton, Veronica Cartwright",A space mining ship investigates an SOS on a distant planet. The crew explores and finds a creature?s hive colony and when one of the eggs is hatched the crew has to fend for their lives. The movie stars Sigourney Weaver.
34,The Usual Suspects,1995,3.3,English,Mystery/Thriller,R,Bryan Singer,"Stephen Baldwin, Kevin Spacey, Benicio Del Toro, Kevin Pollak, Gabriel Byrne, Chazz Palminteri","Five men are hauled into a New York jail for separate crimes but end up working together. The police are trying to get to the bottom of who blew up a boat and killed almost all of the passengers, but will they find out in time to arrest the right man?"
35,Toy Story,1995,3.3,English,Animation/Adventure,G,John Lasseter,"Tom Hanks, Tim Allen, John Ratzenberger	 ., Wallace Shawn, Don Rickles, Jim Varney","As the toys of a boys room argue, the Cowboy becomes jealous of a new ""Buzz"" toy and they embark on adventures of their own."
36,Memento,2001,3.2,English,Mystery,R,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Jorja Fox, Stephen Tobolowsky, Russ Fega",A man who has no long term memory tries to piece together his life and finds things are not as they seem.
37,Casablanca,1942,3.3,English,Drama/Romance,NR,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Peter Lorre, Dooley Wilson","Set in Africa during the 1940s, Humphrey Bogart stars as a man with a past trying to hide the past.  He meets his former lover at his own bar as things begin to complicate."
38,Taxi Driver,1976,3.3,English,Crime/Thriller,R,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel, Peter Boyle, Albert Brooks","A Vietnam vet is a taxi driver who obsesses over a woman, while at the same time he tries to save a young prostitute.  His mental instability makes him go to the extreme in certain situations."
39,Reservoir Dogs,1992,3.3,English,Crime/Drama,R,Quentin Tarantino,"Harvey Keitel, Michael Madsen, Steve Buscemi, Tim Roth, Chris Penn, Kirk Baltz","Strangers, who don't know each other's name, team up to commit a heist, while one of them is rat.  They struggle to figure out who it is, while they argue and almost kill the wrong men."
40,American History X,1998,3.2,English,Drama/Crime,R,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Ethan Suplee, Avery Brooks, Elliott Gould",A neo-Nazi is thrown in jail for acting out on his racism.  Prison show him another side of race and when he is released he tries to deter his younger brother from following in his footsteps.
41,Apocalypse Now,1979,3.3,English,War/Drama,R,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Frederic Forrest, Laurence Fishburne, Robert Duvall, Dennis Hopper","Special ops Army captain Ben Willard is sent into the dark heart of the Vietnam War on a classified mission to assassinate rogue colonel Walter Kurtz. His journey includes some of the most iconic war scenes put to film, from surf-loving Lt Col Kilgore, and the famous helicopter attack on a Viet Cong village (to the strains of Wagner), the surreal USO jungle show by Playboy Playmates, to the Do Lung Bridge, the US' last outpost, where soldiers are abandoned to their fate and the only sound, besides explosions, is the yelling of the damned for salvation. Like Dante, every mile brings Willard further into hell with a growing suspicion that Kurtz may not be as crazy as the brass need to believe."
42,Jurassic Park,1993,3.2,English,Action/Adventure,PG-13,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Samuel L. Jackson, Bob Peck",A rich scientist discovers a way to use dinosaur DNA to recreate dinosaurs on a remote island to make an amusement park.
43,Rear Window,1954,3.3,English,Mystery/Thriller,PG,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn","A man confined to a wheel chair (James Stewart), has nothing to do except spy on his neighbors.  As time goes on, he is convinced they have committed murder."
44,The Green Mile,1999,3.3,English,Drama/Mystery,R,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, Michael Jeter, James Cromwell",A wrongly convicted man sits on death row while the officers who guard him interact with him and his powers.
45,Batman Begins,2005,3.1,English,Action,PG-13,Christopher Nolan,"Christian Bale, Michael Caine, Katie Holmes, Liam Neeson, Gary Oldman, Cillian Murphy","A prequel to the Batman movies that remakes Batman to be more of a ""real life hero"" instead of a comic book fantasy. Standard Batman plot with more explanation as to how he became Batman and how he obtained his futuristic weapons."
46,American Beauty,1999,3.1,English,Drama,R,Sam Mendes,"Kevin Spacey, Mena Suvari, Annette Bening, Chris Cooper, Peter Gallagher, Thora Birch","A suburban family, that centers around the aging, battles him while he goes after his daughters sexual friend while the rest of his family carries out a life he seems not to care about (especially his wife and job)."
47,The Sixth Sense,1999,3.2,English,Drama/Thriller,PG-13,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams, Donnie Wahlberg, Mischa Barton",A child psychologist helps a boy who unbelievably communicates with spirits while it tears his mother apart.
48,Eternal Sunshine of the Spotless Mind,2004,3.1,English,Romance,R,Michel Gondry,"Jim Carrey, Kate Winslet, Elijah Wood, Mark Ruffalo, Kirsten Dunst, Tom Wilkinson",Two people who meet by chance decide that they have had enough of each other and try to erase one another from their minds with a new procedure.
49,Star Wars: Episode VI - Return of the Jedi,1983,3.2,English,Sci-Fi/Fantasy,PG,Richard Marquand,"Harrison Ford, Mark Hamill, Carrie Fisher, Billy Dee Williams",Han and Leia try to destroy the new death star while Luke confronts his father and tryes to find the good in him.
50,Finding Nemo,2003,3.2,English,Animation/Family,G,Andrew Stanton,"Ellen DeGeneres, Albert Brooks, Willem Dafoe, Alexander Gould, Eric Bana, Geoffrey Rush",Follow this young fish's hilarious adventures while he tries to get back to his dad.
51,Up,2009,3.3,English,Animation/Family,PG,"Pete Docter, Bob Peterson","Edward Asner, John Ratzenberger, Paul Eiding, Christopher Plummer, Delroy Lindo, Jordan Nagai","A 78-year-old man sets out to fulfill his dream of seeing the wilds of South America by tying thousands of balloons to his home and floating down. What he didn't count on was another eager, 8-year-old explorer to hitch a ride with him."
52,The Avengers,2012,3.3,English,Action,PG-13,Joss Whedon,"Robert Downey Jr., Scarlett Johansson, Chris Hemsworth, Samuel L. Jackson	 , Chris Evans, Mark Ruffalo","When an extraterrestrial invasion threatens all of mankind, the S.H.I.E.L.D. agency must bring together the world's greatest heroes in order to stop the threat. But before they can save Earth, they will have to learn to work together as a team."
53,Aliens,1986,3.3,English,Action/Sci-Fi,R,James Cameron,"Sigourney Weaver, Michael Biehn, Bill Paxton, Carrie Henn, Paul Reiser, Lance Henriksen","As colonies are settled on a known planet, a women is found who holds the answers  as to why no one has heard from anyone on the planet. They arrive armed and ready, but will they believe what she has to say?"
54,Citizen Kane,1941,3.3,English,Drama/Mystery,PG,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Everett Sloane","A news conglomerate leader dies, leaving behind a mystery about his life, and how he became the man he was.  News reporters interview his acquaintances to find some kind of resolution."
55,Spirited Away ( Sen to Chihiro no kamikakushi ),2002,3.3,Japanese,Anime/Adventure,PG,"Hayao Miyazaki, Kirk Wise","Daveigh Chase, Lauren Holly, Suzanne Pleshette, Michael Chiklis, David Ogden Stiers, Jason Marsden","A young girl is whisked away to a world of witches, dragons, gods and spirits when her parents stop at a seemingly abandoned amusement park.  When her parents are transformed into pigs, it's up to Chihiro to make new friends and believe in herself in order to find the way back to her own world."
56,The Wizard of Oz,1939,3.2,English,Fantasy/Musical,G,Victor Fleming,"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke",Dorothy gets swept to a far away land full of beautiful landscapes and treacherous witches. She meets some improbable friends that try to help her get back home by following the yellow brick road.
57,Spider-Man: Into the Spider-Verse,2018,3.6,English,Animation/Adventure,PG,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Jake Johnson, Hailee Steinfeld, Shameik Moore, Brian Tyree Henry, Mahershala Ali, Liev Schreiber","There are other Spider-Men than these. When Spider-Man finds himself crossing into parallel dimensions, he must team up with the alternate versions of himself in order to combat a threat that has the potential to destroy all realities."
58,The Princess Bride,1987,3.2,English,Comedy/Fantasy,PG,Rob Reiner,"Cary Elwes, Robin Wright Penn, Peter Falk, Fred Savage, Andr? the Giant, Mandy Patinkin","Wesley, a peasant, goes on a fantastic journey to find his love, the soon-to-be princess Buttercup. A comedic fairytale like no other."
59,Full Metal Jacket,1987,3.2,English,War/Drama,R,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin, Kevyn Major Howard, Dorian Harewood","The transformation of a young recruit from boot camp - where he witnesses a fellow recruit snap - to Vietnam, where he witnesses the brutaliy of war."
60,Wall-E,2008,3.2,English,Animation/Sci-Fi,PG,Andrew Stanton,"Fred Willard, Jeff Garlin, Ben Burtt, Elissa Knight, Sigourney Weaver, John Ratzenberger","An animation in which Wall-E is maintaining the destroyed, dirty, and ugly earth.  His robotic job is to clean it. He is a curious sort.  One day, another robot is also sent to planet earth. Wall-e believes he may have fallen in love.  This story is about the relationship and adventure of two robots."
61,Unforgiven,1992,3.3,English,Western,R,Clint Eastwood,"Clint Eastwood, Morgan Freeman, Gene Hackman, Jaimz Woolvett, Richard Harris, Saul Rubinek","An old gunman rejects retirement for one last job as he enlists the help of his old partner, and someone new, who is much younger than him."
62,Jaws,1975,3.2,English,Thriller/Horror,PG,Steven Spielberg,"Roy Scheider, Richard Dreyfuss, Robert Shaw, Lorraine Gary, Murray Hamilton, Carl Gottlieb",A killer great white terrorizes a small community in New England.
63,Toy Story 3,2010,3.3,English,Animation/Adventure,G,Lee Unkrich,"Tom Hanks, Tim Allen, John Ratzenberger, Joan Cusack, Don Rickles, Ned Beatty","In this third installment of the Toy Story series, when owner Andy heads off to college, he decides to drop his toys off at a day-care center."
64,It's a Wonderful Life,1946,3.3,English,Family/Drama,PG,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi",A down and out man is shown the light by an Angel who treats him to life on earth without himself.
65,To Kill a Mockingbird,1962,3.3,English,Drama/Family,PG,Robert Mulligan,"Gregory Peck, Mary Badham, Phillip Alford, Frank Overton, Brock Peters, John Megna",A black man is charged with rape while a white man defends him in the 1930's south. The story is told through the eyes of his daugther.
66,Indiana Jones and the Last Crusade,1989,3.2,English,Adventure/Action,PG-13,Steven Spielberg,"Harrison Ford, Sean Connery, John Rhys-Davies, River Phoenix, Denholm Elliott, Julian Glover","While Indiana's father is off searching for the grail and goes missing, he is called upon to rescue him before the Nazis find the Holy Grail."
67,Blade Runner,1982,3.2,English,Sci-Fi/Thriller,R,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Daryl Hannah, M. Emmet Walsh, Edward James Olmos",In a cyber-heavy future Harrison Ford stars as a futuristic police man hired to kill renegade clones.
68,"Professional, The ( Léon )",1994,3.3,English,Crime/Action,NR,Luc Besson,"Jean Reno, Natalie Portman, Gary Oldman, Danny Aiello, Peter Appel, Michael Badalucco","A trained assassin is reluctant to take care of his Neighbor, whose parents are killed.  The girl is 12 years old and he teaches her his assassination trade."
69,No Country for Old Men,2007,3.2,English,Thriller/Crime,R,Ethan Coen,"Tommy Lee Jones,  Javier Bardem, Josh Brolin, Rodger Boyce, Kelly Macdonald, Beth Grant","Situated near the Mexican border on the Rio Grande, a hunter finds dead bodies, heroin, and a stack of cash, in which trouble ensues the discovery."
70,Pirates of the Caribbean: The Curse of the Black Pearl,2003,3.1,English,Action/Adventure,PG-13,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush, Jonathan Pryce, Jack Davenport",A black smith teams goes on an adventure Pirate Jack Sparrow as they are chased after by Jack's old pirate buddies.
71,The Dark Knight Rises,2012,3.2,English,Action/Drama,PG-13,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Michael Caine, Joseph Gordon-Levitt, Gary Oldman","Eight years after the fall of The Joker and Harvey Dent, Gotham City is quiet, peaceful - but all that is about to change. Bane has arrived and plans a campaign of terror that will push the city to its limit. Batman will once again take the mantle of hero in order to save his city."
72,Inglourious Basterds,2009,3.2,English,Action/Adventure,R,Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Eli Roth, Christoph Waltz, Michael Fassbender, Diane Kruger","A group of Jewish-American soldiers called ""The Basterds"" plan to throw fear into the Third Reich with a wave of brutal tactics and merciless killing in Nazi-occupied France."
73,"Seven Samurai, The ( Shichinin no samurai )",1954,3.3,Japanese,Adventure/Action,NR,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki, Daisuke Katô",A village under attack recruits seven warriors to try and protect their village.
74,"Pan's Labyrinth ( laberinto del fauno, El )",2006,3.2,Spanish,Drama/Fantasy,R,Guillermo Del Toro,"Ariadna Gil, Ivana Baquero, Sergi López, Maribel Verdú, Álex Angulo, Doug Jones",A WWII inspired story of an imaginative young girl who is forced to move onto a small military outpost with her mother. She creates a world of fairies and fawns to escape the unhappiness in her life.
75,Parasite ( Gisaengchung ),2019,3.5,Korean,Comedy/Drama,R,Joon-ho Bong,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi, Hye-jin Jang, So-dam Park","The Kim and Park family reside on opposite sides of the spectrum, but the affluent Park and street-wise Kim families are also about to collide in the most unexpected of ways. But even as the Kims revel in their newfound fortunes, something lurks beneath the surface and when a parasitic interloper arrives, it threatens everything they have planned."
76,A Clockwork Orange,1971,3.1,English,Crime/Sci-Fi,R,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, Adrienne Corri, Carl Duering","In a futuristic British society Alex and his Droogs enjoy the finer things in life: sex and violence. When Alex is arrested, he volunteers for a new ""aversion therapy"" with the end result that violence and sex now make him physically ill.  Back in society he finds that things are much different."
77,Avatar,2009,3.0,English,Adventure/Sci-Fi,PG-13,James Cameron,"Sam Worthington, Sigourney Weaver, Michelle Rodriguez, Zoe Saldana, Giovanni Ribisi, Stephen Lang","In the near future Jake, a paraplegic soldier, is given the chance to walk again by participating in the Avatar program on the distant planet of Pandora. Inhabited by the Na'vi, it is home to lush jungles and creatures beautiful and deadly. As humans invade and push deeper, the Na'vi fight back, and Jake finds himself in the middle of it all."
78,Raging Bull,1980,3.3,English,Drama/Biography,R,Martin Scorsese,"Robert De Niro, Joe Pesci, Cathy Moriarty, Nicholas Colasanto, Frank Vincent, Theresa Saldana","A middle weight boxer, who is emotionally unstable, rises to the top over time, but takes a tumble as his life continues."
79,The Big Lebowski,1998,3.1,English,Comedy/Mystery,R,Joel Coen,"Jeff Bridges, Julianne Moore, Steve Buscemi, John Turturro, Julianne Moore, Philip Seymour Hoffman","A slob of a man with the same name as a more wealthier person is mistaken and has his rug taken from him.  With the help of his lazy friends, he tries to get his rug back."
80,Fargo,1996,3.2,English,Crime/Thriller,R,Joel Coen,"William H. Macy, Steve Buscemi, Frances McDormand, Peter Stormare, John Carroll Lynch, Tony Denman",A an indebted man hires hit men to kidnap his wife when it all goes wrong and he tries to fix the problems.
81,Iron Man,2008,3.1,English,Action/Adventure,PG-13,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges, Leslie Bibb, Shaun Toub","Based on the Marvel Comic Book about a man who supports military suits and weapons is injured and must construct a suit to save his life.  When he realizes the potential of the suit, he uses it to his advantage to fight crime."
82,Stand by Me,1986,3.2,English,Adventure/Drama,R,Rob Reiner,"River Phoenix, Corey Feldman, Kiefer Sutherland, Wil Wheaton, Casey Siemaszko, Jerry O'Connell",A group of young friends go on a journey from their home town to try to discover the missing body of a young boy as they encounter real life problems - they put their maturity to the test.
83,The Bourne Identity,2002,3.1,English,Action/Adventure,PG-13,Doug Liman,"Matt Damon, Franka Potente, Chris Cooper, Brian Cox, Clive Owen, Adewale Akinnuoye-Agbaje",A man is rescued by a fishing boat with no identification or memory. Assassins are on his trail as he frantically tries to unravel the truth behind his life.
84,Monty Python and the Holy Grail,1975,3.2,English,Comedy/Adventure,PG,Terry Gilliam,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin","King Arthur is on a quest for the holy grail.  Little do they know that they will encounter many stupid obsticles, and must complete the tasks at hands to find it. Join Gallahead, Robin, and the Knights of the Round Table as they follow their king on this quest."
85,Vertigo,1958,3.2,English,Mystery/Thriller,PG,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Ellen Corby, Henry Jones",A man with Vertigo investigates his old friend's wife to discover that she may be the cause of his vertigo.
86,The Bourne Ultimatum,2007,3.2,English,Thriller/Drama,PG-13,Paul Greengrass,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn, Scott Glenn, Albert Finney",The latest showdown for the Bourne Series. Bourne will fight the past in order to make his future free from it.
87,The Breakfast Club,1985,3.2,English,Drama/Comedy,R,John Hughes,"Judd Nelson, Emilio Estevez, Anthony Michael Hall, Molly Ringwald, Ally Sheedy, Paul Gleason",A group of diverse high school student spend detention together and find out they have a lot more in common than they ever thought.
88,North by Northwest,1959,3.3,English,Mystery/Thriller,PG,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Martin Landau, Leo G. Carroll, Jessie Royce Landis","A advertising exec is chased cross country while he tries to clear his name in a government mistake.  In the end, he can't tell who is on his side."
89,Gone with the Wind,1939,3.2,English,Drama/Romance,PG,Victor Fleming,"Clark Gable, Vivien Leigh, George Reeves, Leslie Howard, Hattie McDaniel, Ann Rutherford","An epic civil war tale of a strong woman, Scarlett, who loves the man she didn?t marry. It is simple tale of selfishness and love."
90,City of God ( Cidade de Deus ),2003,3.3,Portuguese,Drama/Crime,R,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Seu Jorge","Growing up in the same town, two boys take life differently in Rio de Janeiro.  One becomes a successful photography and the other a drug dealer while their lives continue to pass as they grow older."
